id,name
1, Metcon
3,Armada Hoffler
4,Avalon Bay Communities
5,BCC
6,Bainbridge Companies
7,Barringer
8,Benco Construction
9,Blackburn Group
10,Brasfield and Gorrie
11,C Herman
12,C.E. Gleeson Constructors
13,CCA International
14,Carolina Multifamily Cons. (CMC)
15,Carter Construction 
16,China Construction
18,Choate Construction
19,Clancey & Theys
21,Clifton Construction
22,Concorde Construction
23,Crescent Communities
24,Cypress Builders
26,"D.R. Horton, INC"
29,Edifice 
30,Elford
31,Embrey
32,Encore Construction
33,FL Blum
34,Gais Construction
36,Griffin 
38,Harkins 
39,Harmon Construction
40,Hendrick Construction
42,KMW Builders 
43,Keach Construction
45,Keary Construction 
46,Knight & Davis Construction Group
48,Landmark Properties
50,Liles Construction
51,Linden Construction
52,MB Khan 
53,MWBE 
54,March West
56,Marsh Bell 
61,Morgan-keller
62,Northview Partners
63,PARC Construction
64,Parker General Contractirs
65,Parker General Contractor
66,Samet Corp
67,Samet Corporation 
68,Southern Builders
69,Southway Builders
70,Speedwell Constrcution 
71,Sterling Constrcuction
72,Sterling Construction 
73,Swinerton
74,The Concorde
75,The Whiting-turner 
76,Thrive construction
77,Triangle
78,WM Jordan
79,Wallick Construction 
86,Weavercooke
87,Whiting Turner
88,Wies Builders
89,Wood Partners
91,Mauricios Construction
93,Fairfield Development L.P.
94,Element
96,McCrory Construction
99,Buildtech Services
100,W. M. Jordan Company
101,The NRP Group
103,McFarland Construction